"favorite_count","retweet_count","hashtags_cant","media_url_cant","mentions_cant","reply_to_status","followers_count","friends_count","statuses_count","favourites_count","account_lang","source","popular"
2,0,0,0,0,0,440,304,16700,2918,"es","Twitter for Android","no"
1,0,0,0,0,0,1893,2478,5885,117,"es","Facebook","no"
1,0,0,0,0,0,936,286,58143,38071,"es","Twitter for Android","no"
0,0,0,0,0,0,261,184,10910,318,"es","Twitter for Android","no"
0,0,0,0,0,0,1240,965,62088,8102,"es","Twitter for Android","no"
1,0,0,0,0,0,997,686,16675,2524,"es","Twitter Lite","no"
0,0,0,0,0,0,380,372,6704,939,"es","Twitter for Android","no"
3,0,0,0,0,0,385,240,5517,3655,"es","Twitter for Android","no"
0,0,0,0,0,0,746,129,23569,7,"es","Facebook","no"
0,0,0,0,0,0,573,95,38366,7151,"es","Twitter for iPhone","no"
1,1,0,0,0,0,518,485,46634,8098,"es","Twitter for Android","no"
5,0,0,0,0,0,1755,914,16846,9706,"es","Twitter Web Client","no"
0,0,0,0,0,0,1533,821,30590,6322,"es","Twitter for iPhone","no"
0,0,0,0,0,0,826,1468,14604,3605,"es","Twitter for Android","no"
0,0,0,0,0,0,2285,1633,46028,10332,"es","Twitter for iPhone","no"
0,0,0,0,0,0,879,928,10763,7381,"es","Twitter for Android","no"
0,0,0,0,0,0,534,129,36694,4466,"es","Twitter for Android","no"
0,0,0,0,0,0,1111,348,30132,6574,"es","Twitter for iPhone","no"
0,0,0,0,0,0,63,89,454,228,"es","Twitter Lite","no"
0,0,0,0,0,0,582,517,25004,17672,"es","Twitter for Android","no"
0,0,0,0,0,0,408,300,39373,11494,"es","Twitter for iPhone","no"
0,0,0,1,0,0,774,609,50277,12307,"es","Twitter Web Client","no"
1,0,0,0,3,1,958,672,10316,5540,"es","Twitter Web Client","no"
0,0,0,0,0,0,635,609,21197,16587,"es","Twitter for Android","no"
0,0,0,0,0,0,73,71,3550,1116,"es","Twitter for Android","no"
3,0,0,0,0,0,1635,707,12478,12343,"es","Twitter for Android","no"
0,0,0,0,0,0,57143,39472,953268,3788,"es","Twitter Web Client","no"
0,0,0,0,0,0,57143,39472,953268,3788,"es","Twitter Web Client","no"
1,0,1,0,0,0,57143,39472,953268,3788,"es","Twitter Web Client","no"
1,0,1,0,0,0,57143,39472,953268,3788,"es","Twitter Web Client","no"
0,0,0,0,0,0,427,459,30930,26041,"es","Twitter for Android","no"
0,0,0,0,0,0,242,281,2092,1076,"es","Twitter for Android","no"
1,0,0,0,0,0,188,153,3956,2210,"es","Twitter for Android","no"
0,0,1,0,0,0,116939,29090,904780,2775,"es","Twitter Web Client","si"
0,0,1,0,0,0,116939,29090,904780,2775,"es","Twitter Web Client","si"
0,0,0,0,0,0,116939,29090,904780,2775,"es","Twitter Web Client","si"
0,0,0,0,0,0,116939,29090,904780,2775,"es","Twitter Web Client","si"
0,0,0,0,1,1,739,631,14282,7351,"es","Twitter Lite","no"
0,0,0,0,0,0,1348,1662,5474,9636,"es","Twitter for Android","no"
2,0,0,0,0,0,1257,883,69920,24489,"en","Twitter for iPhone","no"
0,0,0,0,0,0,254,78,14161,2037,"es","Twitter for iPhone","no"
0,0,0,0,0,0,5229,3151,112754,6833,"es","Twitter for Android","no"
70,5,0,0,0,0,19830,1555,25105,40477,"es","Twitter for Android","no"
3,4,0,0,0,0,1109530,396,2730505,14809,"es","TweetDeck","si"
3,4,0,0,0,0,1109530,396,2730505,14809,"es","TweetDeck","si"
